species,bone,bone_group,specimen,view,source_path,found,img_width,img_height,bbox_x,bbox_y,bbox_width,bbox_height,rbox_width,rbox_height,rbox_angle_deg,area_px,area_ratio,aspect_ratio,extent,solidity,elongation,ellipse_ratio,circularity,convexity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,wp00,wp01,wp02,wp03,wp04,wp05,wp06,wp07,wp08,wp09,wp10,wp11,wp12,wp13,wp14,wp15,wp16,wp17,wp18,wp19,mean_width,std_width,max_width,min_width,curvature_mean,curvature_max
alouatta_palliata,cranium,cranio,nmnhvz_7283884,10,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view010.png,True,512,512,158,145,187,259,265.81,170.28,-13.57,34654.0,0.132195,1.561,0.7155,0.952,0.449,1.6406,0.6944,0.9005,0.7472,2.2327,3.7319,5.1327,-9.5706,-6.2526,10.3659,63.79,96.3,116.82,134.85,151.11,156.61,164.48,168.3,166.29,169.38,169.58,161.3,149.97,159.86,158.92,152.32,131.0,108.2,85.71,47.33,135.61,36.2,169.58,47.33,0.016981,0.038095
alouatta_palliata,cranium,cranio,nmnhvz_7283884,11,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view011.png,True,512,512,158,128,177,250,249.16,172.36,-79.08,29532.5,0.112658,1.4455,0.6674,0.8801,0.4892,1.4997,0.5065,0.7959,0.7443,2.3789,3.4531,4.6353,-8.8071,-5.8903,-8.8557,65.11,102.48,135.14,152.33,159.55,158.63,147.87,146.7,147.52,153.69,168.33,169.73,169.06,163.77,146.89,109.8,93.43,62.84,40.03,35.66,126.43,43.39,169.73,35.66,0.026717,0.056749
alouatta_palliata,cranium,cranio,nmnhvz_7283884,12,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view012.png,True,512,512,171,95,170,338,341.47,163.41,-85.36,39331.5,0.150038,2.0897,0.6845,0.9199,0.7593,2.0453,0.5562,0.8693,0.6834,1.7944,3.4206,4.2444,8.1958,5.4361,-8.2642,25.67,54.15,78.07,97.33,116.97,129.01,147.49,163.01,162.68,142.53,160.2,161.63,7.35,151.66,152.28,151.26,142.67,125.56,85.72,27.4,114.13,49.6,163.01,7.35,0.018536,0.046317
alouatta_palliata,cranium,cranio,nmnhvz_7283884,13,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view013.png,True,512,512,174,73,164,366,366.11,161.96,-1.05,39631.0,0.15118,2.2605,0.6603,0.9018,0.8124,2.3486,0.4985,0.8575,0.6401,1.6006,3.2973,3.8774,7.4827,4.7357,8.0155,29.9,53.01,73.06,91.91,105.02,107.04,128.03,146.76,150.23,156.29,158.99,160.9,138.31,144.32,148.25,146.01,139.27,124.05,74.01,26.0,115.07,42.1,160.9,26.0,0.012013,0.038465
alouatta_palliata,cranium,cranio,nmnhvz_7283884,14,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view014.png,True,512,512,167,103,190,286,288.42,164.94,-59.89,32823.5,0.125212,1.7486,0.604,0.9189,0.6302,1.8473,0.541,0.8383,0.6963,1.8961,3.2308,4.3536,8.673,6.4519,-8.1659,23.91,54.2,95.88,107.04,114.88,118.06,121.24,140.88,142.47,142.42,149.91,152.04,155.55,164.67,155.46,150.81,148.09,122.49,101.71,40.31,120.1,39.15,164.67,23.91,0.021626,0.045114
alouatta_palliata,cranium,cranio,nmnhvz_7283884,15,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view015.png,True,512,512,141,149,245,226,232.13,219.0,-16.59,34955.0,0.133343,1.06,0.6313,0.8852,0.3417,1.3167,0.6028,0.8527,0.7631,2.8162,3.2956,4.7125,9.2824,6.7392,-8.7332,73.08,119.64,149.14,10.28,194.8,209.87,217.43,218.7,213.41,208.62,180.67,182.56,183.7,181.69,174.04,108.34,115.15,118.94,110.72,95.21,153.3,55.51,218.7,10.28,0.022446,0.050828
alouatta_palliata,cranium,cranio,nmnhvz_7283884,16,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view016.png,True,512,512,155,86,194,323,320.67,179.33,-30.84,38991.5,0.148741,1.7882,0.6223,0.9087,0.7152,1.9523,0.5393,0.8505,0.6853,1.7991,3.8055,4.685,8.9609,5.7289,9.3706,66.37,101.69,116.8,128.65,146.25,178.67,178.53,178.53,169.1,160.37,156.91,151.43,132.56,131.84,127.76,131.01,123.12,105.8,52.66,21.96,128.0,41.37,178.67,21.96,0.018433,0.051249
alouatta_palliata,cranium,cranio,nmnhvz_7283884,17,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view017.png,True,512,512,164,70,188,357,355.72,186.68,-0.66,44043.0,0.168011,1.9056,0.6562,0.8879,0.7728,2.0118,0.5085,0.837,0.6794,1.7658,3.8656,4.4459,8.6016,5.3337,-10.938,54.0,96.04,138.03,145.98,153.02,168.21,167.84,156.09,172.22,173.82,178.97,178.14,166.17,145.14,129.09,119.98,102.03,88.99,75.16,28.14,131.85,43.12,178.97,28.14,0.018128,0.038279
alouatta_palliata,cranium,cranio,nmnhvz_7283884,18,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view018.png,True,512,512,148,91,204,338,331.07,196.72,-81.87,47508.5,0.181231,1.683,0.689,0.9241,0.5305,1.6578,0.5959,0.8544,0.741,2.1729,4.3327,5.3117,10.1964,6.5556,-10.435,16.55,35.5,82.17,133.22,155.56,176.78,189.08,188.8,176.07,178.05,187.81,193.04,193.32,194.31,188.94,188.66,162.07,154.29,135.91,83.58,150.68,52.89,194.31,16.55,0.019544,0.05135
alouatta_palliata,cranium,cranio,nmnhvz_7283884,19,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view019.png,True,512,512,128,120,259,255,254.8,230.63,-55.38,43549.0,0.166126,1.1048,0.6594,0.9235,0.084,1.0625,0.6315,0.8456,0.7831,4.1858,3.5799,5.7156,10.4149,-8.7856,10.7008,44.91,86.52,108.98,186.82,213.33,224.4,228.8,215.48,210.56,215.81,227.43,229.33,214.4,217.87,217.19,190.36,181.7,150.28,132.62,55.78,177.63,58.42,229.33,44.91,0.031471,0.052097
alouatta_palliata,cranium,cranio,nmnhvz_7283884,20,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view020.png,True,512,512,145,87,235,350,330.53,227.62,-20.43,53191.5,0.202909,1.4521,0.6467,0.9127,0.4984,1.4701,0.6108,0.8593,0.7605,2.4187,4.5323,6.2294,-11.6108,-7.5016,0.0,15.43,22.32,112.01,170.03,185.98,205.29,211.93,211.95,204.71,207.66,211.03,211.03,219.66,218.96,213.69,202.83,188.3,151.7,130.05,93.97,169.43,61.63,219.66,15.43,0.017998,0.050344
alouatta_palliata,cranium,cranio,nmnhvz_7283884,21,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view021.png,True,512,512,137,69,224,356,353.92,220.3,-10.3,54014.0,0.206047,1.6066,0.6773,0.9155,0.6178,1.6424,0.5749,0.8513,0.7377,2.1568,4.0354,4.8162,9.271,5.9522,-9.6936,61.98,102.05,131.3,160.82,176.02,187.2,214.75,214.04,219.05,218.51,219.94,214.13,205.0,181.66,149.46,134.52,132.64,116.1,96.51,89.53,161.26,49.51,219.94,61.98,0.013489,0.045108
alouatta_palliata,cranium,cranio,nmnhvz_7283884,22,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view022.png,True,512,512,137,73,249,337,336.25,247.68,-87.71,56898.5,0.217051,1.3576,0.6781,0.9094,0.4252,1.4525,0.6059,0.8576,0.7551,2.4079,3.7028,4.6683,8.8936,5.9424,9.2419,100.04,104.08,114.83,120.38,130.18,142.09,186.17,214.31,233.17,242.21,246.92,246.88,240.69,233.73,224.82,216.23,168.79,158.67,152.24,93.13,178.48,54.54,246.92,93.13,0.013614,0.036499
alouatta_palliata,cranium,cranio,nmnhvz_7283884,23,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view023.png,True,512,512,124,72,264,354,347.1,258.9,-65.18,61900.0,0.23613,1.3407,0.6623,0.9096,0.4034,1.371,0.6277,0.8709,0.7663,2.57,4.0306,4.999,9.5141,6.284,10.9022,10.0,71.52,126.49,141.59,189.56,203.4,217.79,225.33,239.42,255.49,258.9,257.23,251.3,241.38,246.0,235.23,217.84,168.25,126.27,101.55,189.23,69.18,258.9,10.0,0.011994,0.04436
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,0,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view000.png,True,512,512,129,109,256,299,292.57,256.2,-85.94,23329.0,0.088993,1.142,0.3048,0.455,0.1665,1.9667,0.1641,0.6651,0.339,1.9901,1.2142,2.5308,-4.4042,3.6025,5.6104,221.72,233.98,255.56,255.63,220.51,211.82,220.51,222.15,218.51,132.38,120.19,108.3,102.52,95.26,91.55,86.56,79.58,71.96,72.1,40.11,153.05,71.69,255.63,40.11,0.006778,0.023002
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,1,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view001.png,True,512,512,109,97,243,327,314.22,243.28,-77.4,26545.5,0.101263,1.2916,0.3341,0.5025,0.4656,1.8557,0.1698,0.6547,0.3686,1.8073,1.4268,2.8613,-5.0803,3.765,5.2727,215.41,242.74,239.71,221.81,226.28,192.43,185.37,165.73,165.84,150.88,139.72,128.97,120.95,110.31,102.72,94.7,88.41,86.03,76.68,40.78,149.77,58.69,242.74,40.78,0.014678,0.035561
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,2,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view002.png,True,512,512,130,162,270,260,271.49,250.11,-84.07,31168.0,0.118896,1.0854,0.444,0.5722,0.3266,1.063,0.2167,0.6374,0.5354,2.23,2.1454,3.285,-6.0808,-4.4025,6.2544,22.19,112.54,174.86,182.24,162.31,128.86,141.93,155.06,149.71,133.49,113.43,121.11,138.16,166.32,137.27,132.74,174.72,185.35,178.8,73.23,139.22,38.51,185.35,22.19,0.023676,0.064383
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,3,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view003.png,True,512,512,135,95,263,338,312.93,239.88,-28.15,36223.0,0.13818,1.3045,0.4075,0.6148,0.4229,1.3626,0.2061,0.6209,0.5309,2.3566,2.1038,3.4393,6.2917,-5.264,-6.4646,38.82,193.33,193.15,225.47,231.83,237.63,230.98,215.05,201.29,187.56,188.32,181.49,176.89,178.55,165.96,155.32,145.91,128.54,98.25,56.0,171.52,53.86,237.63,38.82,0.011349,0.039297
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,4,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view004.png,True,512,512,98,112,294,307,307.29,263.58,-49.59,46452.5,0.177202,1.1658,0.5147,0.8153,0.3289,1.0873,0.4777,0.8367,0.6878,2.9031,2.3122,3.7407,-6.7785,-5.2073,7.4125,54.67,101.95,133.24,161.24,167.98,183.26,191.29,191.1,200.2,203.45,200.54,200.54,214.39,237.37,236.95,176.27,138.41,116.33,107.11,66.06,164.12,51.63,237.37,54.67,0.013013,0.029977
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,5,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view005.png,True,512,512,103,139,310,291,294.09,241.61,-42.33,44527.5,0.169859,1.2172,0.4936,0.8279,0.4391,1.3093,0.443,0.7955,0.6967,2.3478,2.6919,4.1851,-7.6701,-5.6101,7.9813,45.27,125.12,182.3,218.62,234.24,222.27,218.08,207.39,191.29,176.42,136.42,145.05,141.6,172.33,187.66,183.7,163.53,138.56,123.09,78.03,164.55,47.6,234.24,45.27,0.020553,0.055207
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,6,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view006.png,True,512,512,119,118,240,311,287.61,210.78,-66.19,21219.0,0.080944,1.3645,0.2843,0.4475,0.437,2.0644,0.146,0.6315,0.3349,1.9838,1.7555,2.0257,-4.1263,3.1626,4.0201,206.23,209.57,194.34,207.85,207.85,200.61,190.95,182.12,176.36,172.84,163.66,157.58,150.58,140.55,142.62,133.28,124.16,109.55,82.85,44.37,159.9,43.89,209.57,44.37,0.010405,0.017678
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,7,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view007.png,True,512,512,82,156,324,282,255.89,237.72,-39.7,38405.5,0.146505,1.0765,0.4203,0.7206,0.3101,1.2224,0.3343,0.7345,0.6366,2.2618,3.4836,4.1207,8.1797,-5.5846,8.0022,50.07,224.45,235.11,236.72,226.73,154.93,155.6,148.29,97.08,103.35,122.03,119.98,149.03,191.52,201.9,208.18,199.47,196.26,176.82,134.69,166.61,50.36,236.72,50.07,0.023867,0.068827
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,8,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view008.png,True,512,512,115,97,261,332,324.41,251.95,-35.47,50190.5,0.191462,1.2876,0.5792,0.8302,0.4765,1.3954,0.4764,0.8044,0.7084,2.3478,2.7166,3.6216,7.0697,5.0831,-6.861,88.34,122.51,136.81,135.65,146.69,160.4,169.35,169.13,182.14,187.5,201.22,231.11,249.25,246.8,230.87,213.1,194.72,152.28,87.19,42.43,167.38,54.16,249.25,42.43,0.017431,0.057914
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,9,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view009.png,True,512,512,135,101,254,335,330.84,249.55,-6.03,50601.5,0.193029,1.3257,0.5947,0.8149,0.5491,1.4325,0.4576,0.7928,0.7072,2.2579,2.9275,3.7524,7.4223,5.1028,7.1459,43.08,60.03,64.33,86.83,94.89,104.9,116.1,216.44,222.61,221.89,247.05,248.41,248.46,202.26,202.93,209.17,230.26,221.51,195.13,118.71,167.75,70.01,248.46,43.08,0.021296,0.045868
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,10,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view010.png,True,512,512,102,150,301,283,270.37,247.89,-20.56,36496.5,0.139223,1.0907,0.4284,0.607,0.2337,1.3867,0.2627,0.7082,0.5741,2.5283,3.0713,2.8,5.9735,-4.6444,-5.824,196.16,212.78,223.31,226.12,228.82,232.09,233.61,235.95,241.46,244.15,244.5,242.16,241.81,238.76,236.19,236.66,240.05,234.32,52.32,49.04,214.51,55.76,244.5,49.04,0.007658,0.022014
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,11,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view011.png,True,512,512,129,151,231,238,232.93,230.41,-87.27,29491.0,0.112499,1.0109,0.5364,0.6356,0.2519,1.1741,0.2785,0.6945,0.5918,2.6975,3.393,2.9022,-6.055,-4.3794,-6.8612,142.27,190.69,205.15,215.85,167.9,141.74,119.06,116.06,9.32,99.51,94.51,91.56,228.07,230.41,186.36,225.08,195.35,191.21,53.42,33.96,146.87,65.69,230.41,9.32,0.031436,0.069074
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,12,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view012.png,True,512,512,115,122,275,300,295.43,250.22,-42.55,48132.0,0.183609,1.1807,0.5834,0.8337,0.4334,1.2033,0.4988,0.8008,0.7341,2.7238,2.9907,3.9933,-8.3121,-6.0127,7.4902,33.29,136.56,168.81,185.65,178.44,223.05,245.53,249.17,246.53,226.19,200.32,174.83,164.01,158.85,165.6,187.59,173.22,173.22,135.88,86.99,175.69,51.37,249.17,33.29,0.019016,0.06142
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,13,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view013.png,True,512,512,131,112,277,302,306.32,243.64,-41.73,45250.5,0.172617,1.2573,0.5409,0.8041,0.4889,1.2001,0.5039,0.845,0.6894,2.412,2.4751,3.5876,-6.9521,-5.0568,-6.6716,101.23,123.97,145.1,139.96,151.18,145.43,152.75,146.42,164.61,170.26,166.26,210.17,234.07,236.15,229.27,205.29,170.66,140.65,98.31,43.51,158.76,47.2,236.15,43.51,0.016824,0.048992
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,14,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view014.png,True,512,512,126,144,257,271,269.74,209.54,-64.73,34574.5,0.131891,1.2873,0.4964,0.7352,0.3749,1.2895,0.3565,0.7364,0.6493,2.157,3.1113,3.6337,-7.3275,-4.7363,-7.0623,36.62,72.24,103.06,117.42,123.53,190.55,187.51,188.24,187.51,183.69,104.92,108.21,122.05,124.86,152.27,177.44,202.45,192.66,167.71,127.95,143.54,44.95,202.45,36.62,0.021671,0.055356
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,15,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view015.png,True,512,512,98,131,312,301,292.4,247.22,-59.53,35812.5,0.136614,1.1827,0.3813,0.5677,0.1963,1.2891,0.2341,0.6794,0.5044,2.8638,2.5725,2.4119,5.3677,-4.1549,4.9313,48.17,49.38,195.46,231.81,233.23,240.12,244.89,244.69,244.49,243.17,242.56,244.08,244.08,241.95,237.69,233.89,229.73,212.59,188.66,143.03,209.68,59.12,244.89,48.17,0.010909,0.051761
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,16,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view016.png,True,512,512,127,115,277,323,303.22,216.38,-41.16,45140.5,0.172197,1.4013,0.5045,0.8157,0.5622,1.5153,0.4143,0.7659,0.6764,2.0085,2.8264,3.7885,-7.2742,-5.0702,-7.2218,136.22,171.22,187.67,211.76,214.11,193.61,144.78,169.04,171.39,157.85,158.61,179.49,179.31,168.48,169.98,174.03,157.95,139.69,120.41,75.63,164.06,30.44,214.11,75.63,0.020504,0.059835
alouatta_palliata,mandible,mandibula_maxilar,nmnhvz_7235149,17,/root/dev/base_datos_osea/renders/alouatta_palliata/mandible/nmnhvz_7235149/alouatta_palliata_mandible_nmnhvz_7235149_view017.png,True,512,512,102,96,292,338,331.07,241.54,-54.76,50822.0,0.193871,1.3707,0.5149,0.7973,0.5357,1.3714,0.474,0.8244,0.6673,2.0396,2.5457,3.4833,-6.9306,-4.7714,6.5296,95.54,132.69,142.87,142.97,164.51,167.87,167.14,176.14,174.41,172.96,171.85,168.68,163.43,200.82,218.51,215.1,202.27,171.46,154.93,114.52,165.93,29.93,218.51,95.54,0.015271,0.041307
